Geneid	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3
ENSG00000163389.12	1059	882	655	1893	1133	1134	986	618
ENSG00000272662.1	15	19	14	34	17	16	23	11
ENSG00000113845.10	2339	2009	1578	3259	1809	2662	2414	1480
ENSG00000121594.12	8	8	2	2	3	11	10	3
ENSG00000272967.1	0	0	0	0	0	0	0	0
ENSG00000144843.12	24	24	16	17	11	18	13	14
ENSG00000144837.9	0	0	0	0	1	1	1	0
ENSG00000303987.1	0	0	0	0	0	0	0	0
ENSG00000242052.1	0	0	0	0	0	1	1	0
ENSG00000121577.14	29	31	25	61	36	32	28	15
ENSG00000289134.1	1	0	0	0	0	0	0	0
ENSG00000138495.7	1620	1331	1085	1778	1091	1398	1353	812
ENSG00000286584.4	0	0	0	0	0	0	0	0
ENSG00000183833.16	1	1	3	1	0	3	6	0
ENSG00000285585.1	0	0	0	0	0	0	0	0
ENSG00000239994.3	0	0	0	0	0	0	0	0
ENSG00000144852.20	0	0	0	4	0	0	0	0
ENSG00000240471.1	0	0	0	0	1	1	0	0
ENSG00000082701.17	3836	3327	2435	4618	2795	4154	3594	2239
ENSG00000297780.1	0	0	0	0	0	0	0	0
ENSG00000288662.1	0	0	0	0	0	0	0	0
ENSG00000288667.1	0	0	1	0	0	0	0	0
ENSG00000239835.1	0	0	0	0	0	1	0	0
ENSG00000241546.1	0	0	0	0	0	0	0	0
ENSG00000242622.5	263	243	189	376	241	426	387	223
ENSG00000244308.2	0	0	0	0	0	0	0	0
ENSG00000244139.3	0	1	0	0	0	0	0	0
ENSG00000175697.11	87	70	49	76	57	76	58	40
ENSG00000206721.1	0	0	0	0	0	0	0	0
ENSG00000240882.1	1	0	0	3	1	0	0	0
ENSG00000163428.4	6563	5642	4043	8347	5125	6188	5471	3817
ENSG00000293512.2	2	0	0	4	2	1	1	2
ENSG00000282950.2	7	6	4	14	10	15	13	11
ENSG00000240661.4	0	0	0	0	0	1	0	0
ENSG00000242613.1	0	0	0	0	0	0	0	1
ENSG00000163430.13	5013	4346	3372	7899	5070	6450	6014	3681
ENSG00000284121.1	0	0	0	0	0	0	0	0
ENSG00000286735.2	0	0	1	0	0	0	0	0
ENSG00000295741.1	0	2	0	1	0	0	0	0
ENSG00000240774.1	0	0	0	0	0	0	0	0
ENSG00000295814.1	0	0	0	0	0	0	0	0
ENSG00000295793.1	0	0	0	0	0	0	0	0
ENSG00000244441.1	0	0	0	0	0	0	0	0
ENSG00000295835.1	0	0	0	0	0	0	0	0
ENSG00000065518.8	3826	3434	2601	5583	3376	3755	3840	2187
ENSG00000113924.12	9	10	8	24	11	10	11	7
ENSG00000144840.10	1110	867	757	1840	1027	1362	1207	818
ENSG00000240452.1	0	0	0	0	0	0	1	0
ENSG00000243257.1	0	0	0	0	0	0	0	0
ENSG00000153767.10	1016	827	653	1296	736	999	936	548
ENSG00000213371.4	8	6	5	19	8	12	7	9
ENSG00000243593.2	2	1	0	1	1	0	1	1
ENSG00000287366.1	0	0	0	0	0	0	0	0
ENSG00000145087.14	108	98	68	155	85	147	121	90
ENSG00000270782.1	0	0	0	0	0	0	0	0
ENSG00000264477.1	0	0	0	0	0	0	0	0
ENSG00000243813.1	0	0	0	0	0	0	0	0
ENSG00000242103.1	0	0	0	0	0	0	0	0
ENSG00000287022.1	31	21	26	37	18	31	12	7
ENSG00000051341.15	2747	2442	1744	3560	2274	2753	2424	1644
ENSG00000242445.1	2	4	1	7	2	6	4	2
ENSG00000186103.5	0	0	0	1	0	0	0	0
ENSG00000295223.1	0	0	0	0	0	1	0	0
ENSG00000163833.8	0	0	0	0	0	1	0	1
ENSG00000180353.11	19	32	18	18	23	26	22	10
ENSG00000243544.3	0	0	0	0	1	0	0	0
ENSG00000222057.1	0	0	0	0	0	0	0	0
ENSG00000173230.17	5169	4718	3581	6655	4490	6917	5503	4002
ENSG00000288868.3	56	51	39	94	59	92	71	52
ENSG00000173226.17	3720	3085	2500	4358	2611	3674	3223	1958
ENSG00000145088.9	157	129	84	194	129	154	134	91
ENSG00000163406.11	71	62	53	109	55	60	57	41
ENSG00000145103.15	1	2	2	1	0	1	4	0
ENSG00000202388.1	0	0	0	0	0	0	0	0
ENSG00000114013.16	0	2	2	4	2	2	1	2
ENSG00000306536.1	0	0	0	0	0	0	0	0
ENSG00000287977.1	0	0	0	0	0	0	0	0
ENSG00000036828.17	0	1	0	1	0	0	0	0
ENSG00000240236.1	0	0	0	3	0	0	0	0
ENSG00000121552.4	3	2	9	2	0	5	2	3
ENSG00000160124.9	1229	1013	810	1793	1123	1058	954	608
ENSG00000114023.16	2876	2412	1938	4269	2810	3043	2889	1665
ENSG00000196981.4	857	770	624	1615	849	1276	1119	702
ENSG00000272758.8	191	163	128	235	155	219	235	163
ENSG00000242531.1	0	0	0	0	0	0	0	0
ENSG00000114030.13	7599	6259	4716	10185	6004	6977	6193	3768
ENSG00000275348.1	0	0	0	0	0	0	0	0
ENSG00000287207.2	16	15	11	21	15	25	23	18
ENSG00000138496.17	735	613	491	907	562	760	649	396
ENSG00000163840.10	1028	879	665	1519	912	1087	1002	631
ENSG00000173200.13	1	0	1	2	2	1	1	1
ENSG00000243918.1	0	0	0	0	0	0	0	0
ENSG00000295375.1	0	0	1	0	0	0	0	0
ENSG00000173193.15	208	202	152	278	176	342	219	148
ENSG00000169087.11	423	375	284	589	330	458	410	258
ENSG00000303409.1	0	0	0	2	1	1	0	0
ENSG00000138463.9	485	427	344	786	516	527	524	319
ENSG00000296911.1	47	57	37	58	43	61	70	37
ENSG00000273033.3	304	243	214	334	199	403	366	213
ENSG00000082684.16	79	58	45	71	42	142	175	87
ENSG00000306095.1	0	0	0	0	0	0	0	0
ENSG00000065485.20	563	455	364	1109	678	815	744	440
ENSG00000284421.1	0	0	0	0	0	0	0	0
ENSG00000121542.12	594	528	378	853	509	641	683	432
ENSG00000273454.1	3	2	2	7	2	7	4	4
ENSG00000173175.16	165	126	117	222	125	256	218	131
ENSG00000272678.1	3	7	1	18	10	2	4	3
ENSG00000303489.1	0	0	0	0	0	0	0	0
ENSG00000296418.1	0	0	0	0	0	0	0	1
ENSG00000310167.1	0	3	0	1	0	3	3	1
ENSG00000298604.1	1	0	0	0	0	0	1	0
ENSG00000206527.10	2628	2237	1636	4616	2723	2675	2385	1497
ENSG00000239523.9	147	125	105	218	125	172	178	87
ENSG00000065534.20	586	549	391	669	413	774	742	449
ENSG00000304368.1	0	0	0	0	0	1	0	0
ENSG00000207002.1	0	0	0	0	0	0	0	0
ENSG00000175455.16	5875	5307	4068	7126	4613	6878	6091	4337
ENSG00000065371.18	0	0	0	0	0	1	0	0
ENSG00000304291.1	0	0	0	0	0	0	0	0
ENSG00000160145.16	385	352	251	492	308	496	461	269
ENSG00000266383.1	0	0	0	0	0	0	0	0
ENSG00000240622.1	0	0	0	0	0	0	0	0
ENSG00000301301.1	0	0	0	0	0	0	0	0
ENSG00000276656.1	0	0	0	0	0	0	0	0
ENSG00000252751.1	0	0	0	0	0	0	0	0
ENSG00000297494.1	0	0	0	0	0	0	0	0
ENSG00000304375.1	1	3	0	0	0	2	0	0
ENSG00000288713.2	1	0	1	0	0	0	1	0
ENSG00000260391.2	0	0	0	0	0	0	0	0
ENSG00000114491.14	2836	2464	1950	4476	2612	2787	2423	1383
ENSG00000265981.1	3	5	2	4	3	1	3	0
ENSG00000242199.1	0	0	0	0	0	0	0	0
ENSG00000082781.12	1152	930	734	1892	1167	1477	1377	719
ENSG00000244286.1	0	0	0	0	1	0	0	0
ENSG00000280042.1	1	0	0	0	1	8	1	1
ENSG00000276626.1	0	0	0	0	0	0	0	0
ENSG00000243986.2	0	0	0	0	0	0	0	0
ENSG00000173702.7	1	0	1	0	4	0	1	0
ENSG00000173706.15	1013	876	667	2327	1488	1658	1454	898
ENSG00000307637.1	0	0	0	0	0	0	1	1
ENSG00000252642.1	0	0	0	0	0	0	0	0
ENSG00000288022.2	4	1	2	1	1	10	3	6
ENSG00000221955.11	11	6	6	13	7	17	17	12
ENSG00000199327.1	0	0	0	0	0	0	0	0
ENSG00000264986.1	0	0	0	0	0	0	0	0
ENSG00000309343.1	0	0	0	0	0	0	0	0
ENSG00000163848.21	2710	2376	1748	3808	2297	2905	2612	1872
ENSG00000229048.5	0	0	0	0	0	0	0	0
ENSG00000243508.1	1	0	1	0	0	0	0	0
ENSG00000289324.3	9	7	4	25	6	18	11	13
ENSG00000302071.1	0	0	0	0	0	1	2	0
ENSG00000252953.1	0	0	0	0	0	0	0	0
ENSG00000294803.1	0	0	0	0	0	0	0	0
ENSG00000301896.1	0	0	0	3	2	1	1	0
ENSG00000114520.11	2361	2075	1517	3495	2006	2199	2116	1310
ENSG00000201800.1	0	0	0	0	0	0	0	0
ENSG00000252965.1	7	4	9	12	10	13	10	12
ENSG00000144909.8	2556	2162	1633	3359	1964	2295	2074	1376
ENSG00000304694.1	16	15	13	31	10	30	34	18
ENSG00000304728.1	0	0	0	0	0	0	0	0
ENSG00000243072.1	0	0	0	0	0	0	0	0
ENSG00000242001.1	0	0	0	0	0	0	0	0
ENSG00000234458.4	0	0	0	0	0	0	0	0
ENSG00000243429.1	0	0	0	0	0	0	0	0
ENSG00000228963.3	0	0	0	0	0	0	0	0
ENSG00000239978.1	0	0	0	0	0	0	0	0
ENSG00000179170.11	0	0	0	0	0	0	0	0
ENSG00000239432.1	0	0	0	0	0	0	0	0
ENSG00000284624.2	20	33	18	39	16	30	45	18
ENSG00000284660.1	0	0	0	0	0	0	0	0
ENSG00000241288.9	63	52	53	52	38	130	122	55
ENSG00000239804.1	0	0	0	0	0	0	0	0
ENSG00000221737.1	0	0	0	0	0	0	0	0
ENSG00000242229.1	1	0	0	0	0	0	0	0
ENSG00000287617.1	1	2	2	1	0	1	0	1
ENSG00000241346.1	0	0	0	0	0	0	0	0
ENSG00000241278.1	0	0	0	0	0	0	0	0
ENSG00000291071.2	80	72	55	152	93	102	115	53
ENSG00000171084.18	0	0	0	0	0	0	0	0
ENSG00000291096.2	42	42	31	40	26	43	42	26
ENSG00000189366.13	0	0	0	0	0	0	0	0
ENSG00000241439.1	0	0	0	0	0	0	1	0
ENSG00000114547.10	0	1	0	2	0	3	6	4
ENSG00000300950.1	12	12	7	33	13	29	22	7
ENSG00000114544.17	1502	1405	1107	1883	1197	1280	1276	659
ENSG00000248607.2	0	0	0	0	0	0	0	0
ENSG00000250218.2	50	34	32	52	39	57	60	32
ENSG00000144908.14	24	30	24	34	23	78	52	40
ENSG00000272020.1	0	0	0	0	0	0	0	0
ENSG00000246022.5	3	2	3	1	1	1	4	0
ENSG00000287232.1	1	0	1	3	3	1	0	1
ENSG00000250934.4	0	1	0	1	1	0	0	0
ENSG00000301245.1	0	0	0	0	0	0	0	0
ENSG00000251448.2	0	1	0	0	0	0	0	0
ENSG00000163884.4	490	434	333	515	312	600	584	289
ENSG00000249833.8	0	0	0	0	1	0	0	0
ENSG00000309785.1	0	0	0	0	0	0	0	0
ENSG00000163885.12	0	0	0	0	0	0	1	0
ENSG00000279328.1	4	6	6	4	5	2	3	2
ENSG00000070476.15	1534	1479	1102	2458	1416	1714	1594	913
ENSG00000298719.1	6	4	4	12	1	7	17	4
ENSG00000159650.9	1	0	0	2	0	1	1	0
ENSG00000180767.11	13	14	13	31	31	27	27	15
ENSG00000180697.9	0	0	0	4	0	0	0	0
ENSG00000307406.1	0	0	0	0	0	0	0	0
ENSG00000201968.1	0	0	0	0	0	0	0	0
ENSG00000197763.20	562	504	411	706	463	679	656	380
ENSG00000248557.1	0	0	0	0	0	0	0	0
ENSG00000198284.10	0	0	0	0	0	0	0	0
ENSG00000293201.2	0	0	0	0	0	0	0	0
ENSG00000248850.1	0	0	0	0	0	0	0	0
ENSG00000308864.1	0	0	0	0	1	0	1	1
ENSG00000159685.11	561	445	392	687	445	601	591	275
ENSG00000249558.1	0	0	0	2	0	1	0	0
ENSG00000303597.1	0	0	0	0	0	0	0	0
ENSG00000295783.1	0	0	0	0	1	0	0	0
ENSG00000280053.1	7	5	5	7	4	2	3	2
ENSG00000114554.12	2711	2206	1955	4031	2413	2675	2550	1352
ENSG00000287784.2	0	0	0	0	0	0	0	0
ENSG00000300635.1	0	0	0	0	0	0	0	0
ENSG00000214324.5	0	0	0	0	0	0	0	0
ENSG00000212556.1	0	0	0	0	0	0	0	0
ENSG00000290035.2	1	0	0	3	0	0	0	0
ENSG00000243016.1	0	0	0	0	0	0	0	0
ENSG00000289641.2	0	0	3	2	0	1	1	0
ENSG00000201288.1	0	0	0	0	0	0	0	0
ENSG00000307529.1	0	0	0	0	0	0	0	0
ENSG00000239620.3	7	7	4	20	14	4	2	1
ENSG00000244215.3	1	0	0	1	0	1	2	0
ENSG00000298205.1	0	0	0	0	0	0	0	0
ENSG00000288769.3	0	0	0	0	0	0	0	0
ENSG00000239921.7	0	1	1	0	0	0	0	0
ENSG00000240562.2	0	0	0	0	0	0	0	0
ENSG00000282975.1	0	0	0	0	0	0	0	0
ENSG00000304561.1	0	0	0	0	0	1	0	0
ENSG00000304581.1	0	0	0	0	0	0	0	0
ENSG00000282860.1	0	0	0	0	0	0	0	0
ENSG00000163870.16	1013	767	627	1466	913	1087	1035	545
ENSG00000275067.1	0	0	0	0	0	0	0	0
ENSG00000276083.1	0	0	0	1	0	0	0	1
ENSG00000073111.15	13448	11533	9139	18718	10602	12637	12160	6315
ENSG00000285600.3	10	11	9	17	6	11	6	4
ENSG00000114631.11	2232	1870	1508	2797	1778	2321	2119	1023
ENSG00000114626.18	265	263	198	275	166	339	311	189
ENSG00000297071.1	0	0	0	0	0	0	0	0
ENSG00000074416.16	118	130	83	119	74	157	147	81
ENSG00000302381.1	0	0	0	0	0	0	0	0
ENSG00000302344.1	2	0	0	2	1	3	2	0
ENSG00000302359.1	0	0	0	0	0	0	0	0
ENSG00000302396.1	0	0	0	0	0	0	0	0
ENSG00000287143.2	0	0	0	0	0	0	0	0
ENSG00000302312.1	0	0	0	0	0	0	0	0
ENSG00000302326.1	0	0	0	0	1	0	0	0
ENSG00000187715.13	0	0	1	0	0	0	1	0
ENSG00000201210.1	0	0	0	0	0	0	0	0
ENSG00000302296.1	1	0	2	1	3	3	1	0
ENSG00000058262.11	11424	9745	7690	18134	10918	10797	9964	5588
ENSG00000175792.12	6081	5079	4145	7960	4751	5203	4973	2792
ENSG00000222627.1	1	0	0	3	2	1	0	1
ENSG00000239608.1	0	1	0	2	0	0	0	0
ENSG00000212344.1	0	0	0	0	0	0	0	0
ENSG00000132394.11	940	781	642	1435	801	890	891	445
ENSG00000285619.1	0	0	0	0	0	0	0	0
ENSG00000303801.1	6	3	3	5	6	2	2	2
ENSG00000303819.1	0	0	0	0	0	0	0	0
ENSG00000298850.1	7	2	4	2	3	8	2	1
ENSG00000298776.1	1	1	0	3	1	2	3	3
ENSG00000179407.4	0	0	0	0	0	1	0	0
ENSG00000242049.2	0	0	0	0	1	0	0	1
ENSG00000179348.13	1848	1564	1244	3817	2007	1771	1689	836
ENSG00000244300.4	1046	838	695	1726	1020	1107	1001	551
ENSG00000239405.1	0	0	0	0	0	0	0	0
ENSG00000307146.1	1	1	0	0	0	1	0	0
ENSG00000286806.1	0	1	0	0	0	0	2	0
ENSG00000198685.5	0	1	2	4	3	0	0	0
ENSG00000306450.1	24	6	6	23	9	3	5	1
ENSG00000306468.1	14	10	14	40	19	27	14	8
ENSG00000163902.12	8435	6586	5225	13836	8423	8543	7642	4373
ENSG00000277250.1	1	0	0	2	0	0	0	0
ENSG00000242551.2	0	2	2	2	1	1	2	1
ENSG00000075785.14	10705	9256	7057	15045	8708	9973	9261	5098
ENSG00000207130.1	0	0	0	0	0	0	0	0
ENSG00000239503.1	0	0	0	0	0	0	0	0
ENSG00000242992.3	0	1	0	2	0	0	1	0
ENSG00000244232.3	0	0	0	1	0	0	0	0
ENSG00000239483.1	0	0	0	0	0	0	0	0
ENSG00000244065.1	0	0	1	0	0	0	0	0
ENSG00000295920.1	0	0	0	0	0	0	0	0
ENSG00000295907.1	1	0	0	0	0	0	0	1
ENSG00000243022.1	0	0	0	0	0	0	0	0
ENSG00000290241.1	12	9	1	19	12	11	15	9
ENSG00000242062.1	0	0	0	0	0	0	0	0
ENSG00000287110.4	605	490	388	1409	809	524	448	231
ENSG00000250796.1	11	7	6	8	10	8	8	2
ENSG00000295728.1	52	50	35	92	35	56	58	19
ENSG00000177646.20	2878	2431	1892	4098	2421	2528	2379	1367
ENSG00000114656.13	40	34	30	40	33	67	50	22
ENSG00000279507.1	0	0	0	0	0	0	0	0
ENSG00000114654.8	1	3	0	3	1	5	4	0
ENSG00000307822.1	1	0	0	1	0	1	0	0
ENSG00000307028.1	21	15	7	22	15	21	12	10
ENSG00000303956.1	0	0	0	0	0	0	0	0
ENSG00000249505.1	0	0	0	0	0	0	0	0
ENSG00000169704.5	0	0	0	0	0	0	0	0
ENSG00000290001.2	0	0	1	5	3	0	1	0
ENSG00000172780.17	21	37	16	39	16	28	20	13
ENSG00000261796.1	0	0	0	0	0	0	0	0
ENSG00000273174.1	3	5	0	10	2	10	9	3
ENSG00000240682.10	774	559	461	984	532	740	755	403
ENSG00000288996.3	54	26	33	129	49	100	86	57
ENSG00000273437.1	19	20	14	22	11	20	14	7
ENSG00000169714.17	15446	13580	9983	21107	12586	16006	14996	9356
ENSG00000289469.3	63	46	43	100	42	92	72	38
ENSG00000241673.1	0	0	0	0	0	0	0	0
ENSG00000298983.1	0	0	0	0	0	0	0	0
ENSG00000289351.3	1	0	0	0	0	3	3	2
ENSG00000181789.14	5260	4415	3563	8405	5065	5831	5531	2945
ENSG00000278658.1	0	0	0	0	0	1	1	0
ENSG00000286729.2	10	9	8	22	13	9	21	5
ENSG00000183624.14	2802	2218	1793	3584	2126	2463	2347	1243
ENSG00000298907.1	8	11	9	8	2	3	2	3
ENSG00000184897.7	7793	6834	5293	11567	6338	9490	10205	4648
ENSG00000206417.9	524	487	379	683	440	740	800	346
ENSG00000248916.1	0	0	0	0	0	0	1	0
ENSG00000290993.2	1050	1006	856	1598	981	1571	1518	797
ENSG00000270492.1	0	5	0	1	0	1	1	1
ENSG00000270773.1	1	1	0	1	0	0	0	0
ENSG00000244932.2	0	0	0	0	0	0	0	0
ENSG00000251474.8	0	0	0	0	0	0	0	0
ENSG00000207088.1	7	10	7	8	1	5	5	5
ENSG00000172771.13	41	24	28	51	34	37	31	25
ENSG00000163913.14	1150	1005	801	1661	955	1065	961	543
ENSG00000129071.10	1934	1762	1311	2777	1639	2165	2003	1331
ENSG00000299667.1	0	0	0	0	0	0	0	0
ENSG00000163914.5	0	0	1	5	3	0	0	0
ENSG00000178804.8	0	0	0	1	0	0	0	0
ENSG00000004399.13	998	821	712	2096	1197	1998	2030	1048
ENSG00000239437.3	0	0	0	0	0	0	0	0
ENSG00000299775.1	0	0	0	0	0	0	0	0
ENSG00000248659.1	1	0	0	0	1	1	0	0
ENSG00000172765.19	994	850	690	1196	770	983	989	529
ENSG00000302867.1	0	0	0	0	0	0	0	0
ENSG00000202412.1	0	0	0	0	0	0	0	0
ENSG00000283509.1	0	0	0	0	0	0	0	0
ENSG00000203644.3	240	233	144	413	285	212	216	139
ENSG00000271270.9	339	325	242	642	421	436	470	250
ENSG00000250643.2	36	24	25	31	24	41	48	29
ENSG00000170893.4	0	0	0	0	0	0	0	0
ENSG00000248459.1	0	1	0	1	0	0	0	0
ENSG00000284731.1	0	0	0	0	0	0	0	0
ENSG00000249869.1	0	0	0	0	0	0	0	0
ENSG00000180770.3	0	0	0	0	0	0	0	0
ENSG00000251178.1	0	0	0	1	0	0	1	0
ENSG00000309438.1	0	0	0	0	0	0	0	0
ENSG00000251610.2	0	0	0	0	0	0	0	0
ENSG00000251287.9	9	5	9	14	2	11	9	8
ENSG00000248243.2	22	11	11	24	12	19	19	5
ENSG00000291081.2	129	114	86	340	183	168	169	88
ENSG00000253540.8	5	4	3	18	12	5	7	2
ENSG00000249846.8	94	81	59	110	75	139	136	81
ENSG00000302494.1	0	1	0	0	0	0	0	0
ENSG00000302511.1	0	0	1	0	0	0	0	0
ENSG00000248618.1	0	0	0	0	0	0	0	0
ENSG00000250580.1	0	0	0	0	0	0	1	0
ENSG00000293535.3	3	1	5	3	2	10	3	1
ENSG00000228252.10	0	2	0	0	0	0	0	0
ENSG00000306417.1	0	0	0	0	0	0	0	0
ENSG00000300284.1	0	0	0	0	0	0	0	0
ENSG00000249253.1	0	0	0	0	0	0	0	0
ENSG00000172752.16	23	12	15	30	24	15	20	7
ENSG00000302143.1	0	0	0	0	0	0	0	0
ENSG00000206384.11	14	7	8	15	13	19	18	3
ENSG00000196455.8	2776	2452	1780	4853	2923	3259	2830	1792
ENSG00000306123.1	0	1	0	1	0	0	1	0
ENSG00000306101.1	9	8	9	7	7	8	12	5
ENSG00000222783.1	0	0	0	0	0	0	0	0
ENSG00000285631.1	0	0	0	0	0	0	0	0
ENSG00000232829.3	0	2	0	0	0	0	0	0
ENSG00000017260.20	4250	3582	2747	6329	3996	4354	3865	2500
ENSG00000284095.1	0	0	0	0	0	1	1	0
ENSG00000250592.1	0	0	0	0	0	0	0	0
ENSG00000252894.2	0	0	0	0	0	0	0	0
ENSG00000249098.1	0	0	0	0	0	0	0	0
ENSG00000251579.1	0	0	0	0	0	0	0	0
ENSG00000034533.12	590	504	407	1021	578	600	535	283
ENSG00000114670.14	205	180	139	309	163	184	136	86
ENSG00000250129.6	0	0	0	0	1	0	0	0
ENSG00000201550.1	0	0	0	0	0	0	0	0
ENSG00000250608.3	97	67	62	73	54	89	80	41
ENSG00000293492.2	0	0	0	0	0	0	0	0
ENSG00000246082.5	0	0	0	0	0	0	0	0
ENSG00000198585.12	1981	1632	1302	3067	1872	2517	2291	1393
ENSG00000301248.1	4	3	3	3	2	5	1	0
ENSG00000261167.1	183	173	132	236	142	196	176	109
ENSG00000114686.9	7091	5831	4529	9570	5669	6631	5977	3917
ENSG00000249020.1	3	0	0	2	3	1	2	1
ENSG00000248468.3	5	3	3	12	6	5	4	2
ENSG00000248530.1	1	0	0	2	0	1	0	0
ENSG00000306539.1	4	5	6	8	6	9	3	3
ENSG00000196353.13	27	17	9	9	13	36	27	18
ENSG00000251447.1	0	0	0	0	0	0	0	0
ENSG00000289118.2	0	0	0	0	0	0	0	0
ENSG00000265859.1	0	0	0	0	0	0	0	0
ENSG00000310000.1	0	0	0	0	0	0	0	0
ENSG00000240854.1	2	1	1	2	2	1	1	0
ENSG00000242899.1	0	0	0	0	0	0	0	0
ENSG00000295853.1	0	0	0	0	0	0	0	0
ENSG00000014257.17	128	106	78	90	48	144	94	72
ENSG00000296430.1	115	73	53	114	83	127	119	78
ENSG00000240890.2	6	2	2	7	4	3	4	2
ENSG00000213264.3	0	1	1	2	0	1	0	0
ENSG00000138246.17	2861	2544	1872	4959	2828	2965	2579	1631
ENSG00000240303.8	64	66	55	105	53	79	96	47
ENSG00000274810.4	0	1	0	3	2	4	2	0
ENSG00000129048.7	2	3	2	4	1	1	0	1
ENSG00000251614.1	0	0	0	0	0	0	0	0
ENSG00000081307.15	2888	2510	1914	4146	2535	2905	2660	1754
ENSG00000113971.21	347	352	260	596	392	572	462	291
ENSG00000248724.7	1	4	3	3	2	5	3	0
ENSG00000307413.1	0	0	0	0	0	0	0	0
ENSG00000249725.2	4	4	2	11	7	11	11	7
ENSG00000144868.14	474	340	271	458	303	509	533	254
ENSG00000251011.6	0	0	0	0	1	0	0	0
ENSG00000300103.1	1	0	0	0	0	1	0	0
ENSG00000170819.5	2	4	0	2	0	0	1	0
ENSG00000249820.1	0	0	0	0	0	0	0	0
ENSG00000249993.2	1	0	0	1	0	0	0	0
ENSG00000214301.4	0	0	0	0	0	0	0	0
ENSG00000272832.2	2	0	0	1	3	1	2	0
ENSG00000250983.1	0	0	0	1	0	1	0	0
ENSG00000201827.1	0	0	0	0	0	0	0	0
ENSG00000091527.17	9043	7645	5919	15669	9107	9388	8797	5366
ENSG00000163781.14	7501	6773	5130	8552	5071	7228	6687	4244
ENSG00000291042.2	123	112	84	168	86	160	138	84
ENSG00000252641.2	8	3	7	6	2	4	6	2
ENSG00000242337.8	2	3	0	4	2	3	3	0
ENSG00000201394.1	0	0	0	0	0	0	0	0
ENSG00000091513.16	16	6	6	26	20	19	14	8
ENSG00000244062.1	0	0	0	0	0	0	0	0
ENSG00000144867.13	3400	2709	2171	5174	3215	3246	2886	1772
ENSG00000285908.1	3	4	9	11	5	12	8	8
ENSG00000154917.11	1092	1056	854	1404	952	1646	1652	958
ENSG00000288547.3	1	0	0	1	0	1	0	0
ENSG00000174640.15	145	149	114	183	151	382	358	174
ENSG00000243832.2	0	0	0	0	0	0	0	0
ENSG00000163785.14	2708	2349	1815	2878	1774	2861	2695	1686
ENSG00000307966.1	0	0	0	0	0	0	0	0
ENSG00000231845.3	0	0	0	0	0	0	0	0
ENSG00000299755.1	0	0	0	0	0	0	0	0
ENSG00000240006.3	0	0	0	0	0	0	0	0
ENSG00000299712.1	9	8	7	10	7	10	10	3
ENSG00000260633.1	7	7	8	13	7	8	9	3
ENSG00000293138.1	0	0	0	1	0	0	0	0
ENSG00000214289.3	0	0	0	0	0	0	0	0
ENSG00000114019.15	828	732	541	1379	837	1019	968	498
ENSG00000248377.1	0	0	0	0	0	0	0	0
ENSG00000296394.1	0	0	0	0	0	0	0	0
ENSG00000214288.4	0	0	0	0	0	0	0	0
ENSG00000300713.1	0	0	0	0	0	0	0	0
ENSG00000129055.13	2068	1623	1263	3112	1707	2132	1924	1148
ENSG00000182923.20	385	364	245	700	409	470	471	268
ENSG00000288700.3	3	5	3	8	3	4	2	1
ENSG00000249691.1	0	0	0	0	0	0	0	0
ENSG00000307599.1	0	0	0	1	0	0	1	0
ENSG00000174611.12	9	5	9	8	8	8	11	8
ENSG00000300862.1	0	0	0	0	0	0	0	0
ENSG00000286982.1	0	0	0	0	0	0	0	0
ENSG00000253087.1	0	0	0	0	0	0	0	0
ENSG00000201413.1	0	0	0	0	0	0	0	0
ENSG00000154928.19	155	131	109	228	128	198	176	86
ENSG00000240086.8	129	118	94	163	98	201	153	72
ENSG00000308296.1	0	0	0	0	0	0	0	0
ENSG00000295144.1	0	0	0	0	0	0	0	0
ENSG00000302799.1	0	0	0	0	0	1	0	0
ENSG00000306357.1	0	0	0	0	1	0	0	0
ENSG00000304443.1	0	0	0	0	0	0	0	0
ENSG00000242222.1	0	0	0	0	0	0	0	0
ENSG00000241905.1	0	0	0	0	1	0	0	0
ENSG00000073711.11	670	616	523	971	550	942	797	532
ENSG00000227267.3	0	0	0	0	1	0	0	0
ENSG00000273455.1	3	2	1	12	3	0	4	1
ENSG00000174579.5	2729	2455	1858	3885	2215	3442	3179	2064
ENSG00000241438.1	0	0	1	0	0	0	0	0
ENSG00000244740.1	0	0	0	0	0	0	0	0
ENSG00000114054.14	2822	2556	1957	4115	2457	3040	3034	1740
ENSG00000118007.13	3087	2757	2028	6466	3651	2579	2237	1440
ENSG00000200571.1	1	0	0	0	0	1	1	0
ENSG00000244101.1	0	0	0	0	0	0	0	0
ENSG00000252914.1	0	0	0	0	0	0	0	0
ENSG00000240695.1	9	11	5	24	8	10	12	4
ENSG00000261758.2	52	47	21	71	39	71	49	33
ENSG00000239213.8	186	196	118	303	165	342	309	206
ENSG00000242968.1	0	0	0	0	0	0	0	0
ENSG00000168917.9	733	602	508	913	557	1232	1097	692
ENSG00000158092.7	1078	814	664	1582	904	1277	1197	758
ENSG00000214283.4	0	0	0	0	0	1	0	0
ENSG00000174564.13	93	75	53	98	56	73	98	48
ENSG00000249407.1	0	0	0	0	0	0	0	0
